,,,,,,
CAMBIO DE BATERIA APPLE WATCH SERIE 3/4,"$27,500.00","$25,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 15 PLUS ,"$62,480.00","$56,800.00"
CAMBIO DE BATERIA APPLE WATCH SERIE 5/SE,"$27,500.00","$25,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 15 PRO,"$74,800.00","$68,000.00"
CAMBIO DE BATERIA APPLE WATCH SERIE 6,"$27,500.00","$25,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 15 PRO MAX ,"$74,800.00","$68,000.00"
CAMBIO DE BATERIA APPLE WATCH SERIE 7,"$27,500.00","$25,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 16,"$63,800.00","$58,000.00"
CAMBIO DE BATERIA APPLE WATCH SERIE 8,"$27,500.00","$25,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 16 PLUS ,"$74,800.00","$68,000.00"
,,,,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 16 PRO,"$74,800.00","$68,000.00"
REPARACION,TRANSFERENCIA ,EFECTIVO,,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 16 PRO MAX ,"$83,600.00","$76,000.00"
Reparacion de placa iPhone 6/6s/6plus/6splus,"$44,000.00","$40,000.00",,,,
Reparacion de placa iPhone 7/7plus ,"$44,000.00","$40,000.00",,REPARACION,EFECTIVO/USDT,TRANSFERENCIA 
Reparacion de placa iPhone 8/8plus/SE2020,"$44,000.00","$40,000.00",,Cambio de Glass iphone X,$60,$66.00
Reparacion de placa iPhone X/Xr/SE2022,"$66,000.00","$60,000.00",,Cambio de Glass  iphone xs ,$60,$66.00
Reparacion de placa iPhone Xs/Xs Max,"$66,000.00","$60,000.00",,Cambio de  Glass  iphone xs max ,$65,$71.50
Reparacion de placa iPhone 11 ,"$77,000.00","$70,000.00",,Cambio de Glass  iphone Xr,$65,$71.50
Reparacion de placa iPhone 11Pro/11Pro Max ,"$77,000.00","$70,000.00",,Cambio de  Glass iphone 11 ,$65,$71.50
Reparacon de placa iPhone 12 Mini/ 12 ,"$110,000.00","$100,000.00",,Cambio de Glass  11 Pro ,$75,$82.50
Reparacion de placa iPhone 12 Pro/12 Pro Max ,"$110,000.00","$100,000.00",,Cambio de  Glass iphone 11 Pro max ,$75,$82.50
Reparacion de placa iPhone 13 Mini/ 13 ,"$143,000.00","$130,000.00",,Cambio de Glass  iphone 12 Mini ,$75,$82.50
Reparacion de placa iPhone 13 Pro/13 Pro Max ,"$143,000.00","$130,000.00",,Cambio de  Glass iphone 12,$75,$82.50
Reparacion de placa iPhone 14/14 Plus,"$198,000.00","$180,000.00",,Cambio de  Glass iphone 12 Pro ,$85,$93.50
Reparacion de placa iPhone 14 Pro/ 14 Pro Max ,"$198,000.00","$180,000.00",,Cambio de  Glass 12 Pro max ,$80,$88.00
Reparacion de placa iPhone 15/ 15 Plus,"$220,000.00","$200,000.00",,Cambio de  Glass iphone 13 Mini ,$80,$88.00
Reparacion de placa iPhone  15 Pro/ 15 Pro Max ,"$275,000.00","$250,000.00",,Cambio de  Glass iphone 13,$80,$88.00
Reparacion de placa iPhone 16E/16/16Pus,"$330,000.00","$300,000.00",,Cambio de  Glass iphone 13 Pro ,$90,$99.00
Reparacion de placa iPhone 16 Pro/16 Pro Max,"$385,000.00","$350,000.00",,Cambio de Glass  iphone 13 Pro Max,$100,$110.00
Reparacion de huella  6S y 6S PLUS,"$44,000.00","$40,000.00",,Cambio de  Glass iphone 14 Plus ,$110,$121.00
Reparacion de huella  7/7Plus,"$44,000.00","$40,000.00",,Cambio de Glass iphone 14 ,$110,$121.00
Reparacion de huella  8/8Plus/Se2/Se3,"$44,000.00","$40,000.00",,Cambio de  Glass iphone 14 Pro ,$135,$148.50
Reparacion de conector de bateria iphone X a 11 Pro max ,"$22,000.00","$20,000.00",,Cambio de Glass  iphone 14 Pro Max,$135,$148.50
Reparacion de conector de bateria iphone 12 a 13 pro max ,"$33,000.00","$30,000.00",,Cambio de  Glass iphone 15 plus ,$135,$148.50
Reparacion de conector de bateria de iphone 14 a 15 pro max ,"$44,000.00","$40,000.00",,Cambio de  Glass iphone 15,$135,$148.50
Reparacion de conector de bateria de iphone 16 a 16 pro max ,"$55,000.00","$50,000.00",,Cambio de  Glass iphone 15 Pro ,$160,$176.00
Traspaso de Eprom Iphone Xs a 11 pro max ,"$44,000.00","$40,000.00",,Cambio de  Glass iphone 15 Pro max ,$160,$176.00
Traspaso de Eprom Iphone 12 a 14 pro max ,"$49,500.00","$45,000.00",,Cambio de Glass  iphone 16 Plus,$180,$198.00
Reparacion de CPU (swap) iPhone X / XS / XS MAX / XR,consultar ,,,Cambio de  Glass iphone 16 ,$180,$198.00
Reparacion de CPU (swap) 11 / 11 Pro / 11 Pro Max ,consultar ,,,Cambio de Glass iphone 16 Pro ,$200,$220.00
Reparacion de CPU (swap) 12 Mini / 12-12 Pro / 12 Pro Max ,consultar ,,,Cambio de  Glass iphone 16 Pro max ,$200,$220.00
Reparacion de CPU (swap)  13 Mini / 13 / 13 Pro / 13 Pro Max ,consultar ,,,Cambio de glass Apple Watch serie 2,$80,$88.00
Reparacion de CPU (swap) 14 / 14 Plus ,consultar ,,,Cambio de glass Apple Watch serie 3,$80,$88.00
Reparacion de CPU (swap) 14 Pro / 14 Pro Max ,consultar ,,,Cambio de glass Apple Watch serie 4,$80,$88.00
Reparacion de CPU (swap) serie 15 ,consultar ,,,Cambio de glass Apple Watch serie 5/6 /SE,$80,$88.00
Reparacion de CPU (swap) serie 16 ,consultar ,,,,,
Reparacion de placas de iPad ,consultar ,,,,,
Reparacion de  FACE ID iPhone Serie X ,"$66,000.00","$60,000.00",,,,
Reparacion de  FACE ID iPhone Serie 11 ,"$77,000.00","$70,000.00",,,,
Reparacion de  FACE ID iPhone Serie 12 ,"$110,000.00","$100,000.00",,,,
Reparacion de  FACE ID iPhone Serie 13 ,"$143,000.00","$130,000.00",,,,
Reparacion de  FACE ID iPhone Serie 14 ,"$198,000.00","$180,000.00",,,,
Reparacion de  FACE ID iPhone Serie 15 ,"$220,000.00","$200,000.00",,,,
Reparacion de  FACE ID iPhone Serie 16,"$220,000.00","$200,000.00",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
